Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools &amp; Services,41.53B
AA,Alcoa,Metals &amp; Mining,10.52B
AAC,Ares Acquisition,Blank Check / SPAC,1.22B
AACG,ATA Creativity Global,Diversified Consumer Services,54.91M
AACI,Armada Acquisition I,Blank Check / SPAC,203.16M
AADI,Aadi Bioscience,Biotechnology,396.99M
AAIC,Arlington Asset Investment,"Mortgage Real Estate Investment 
Trus...",107.34M
AAL,American Airlines Group,Airlines,10.55B
AAMC,Altisource Asset Management,Real Estate Management &amp; Development,36.79M
AAME,Atlantic American,Insurance,46.46M
AAN,The Aaron's Company,Specialty Retail,671.22M
AAOI,Applied Optoelectronics,Communications Equipment,105.37M
AAON,"AAON, Inc.",Building Products,3.44B
AAP,Advance Auto Parts,Specialty Retail,14.10B
AAPL,Apple,"Technology Hardware, Storage &amp; Periph...","2,652.87B"
AAQC,Accelerate Acquisition,Blank Check / SPAC,485.00M
AAT,American Assets Trust,"Equity Real Estate 
Investment Trusts...",2.15B
AATC,Autoscope Technologies,Scientific &amp; Technical Instruments,32.45M
AAU,Almaden Minerals,Metals &amp; Mining,39.11M
AAWW,Atlas Air Worldwide Holdings,Air Freight &amp; Logistics,2.27B
AB,AllianceBernstein Holding,Capital Markets,4.72B
ABB,ABB Ltd,Electrical Equipment,72.98B
ABBV,AbbVie,Biotechnology,233.32B
ABC,AmerisourceBergen,Health Care Providers &amp; Services,27.37B
ABCB,Ameris Bancorp,Banks,3.50B
ABCL,AbCellera Biologics,Biotechnology,2.43B
ABCM,Abcam,Biotechnology,4.06B
ABEO,Abeona Therapeutics,Biotechnology,33.74M
ABEV,Ambev,Beverages,42.07B
ABG,Asbury Automotive Group,Specialty Retail,3.64B
ABGI,ABG Acquisition I,Blank Check / SPAC,187.91M
ABIO,ARCA biopharma,Biotechnology,27.67M
ABM,ABM Industries,Commercial Services &amp; Supplies,2.78B
ABMD,Abiomed,Health Care Equipment &amp; Supplies,13.86B
ABNB,Airbnb,"Hotels, Restaurants &amp; Leisure",99.58B
ABOS,Acumen Pharmaceuticals,Biotechnology,209.64M
ABR,Arbor Realty Trust,"Mortgage Real Estate Investment 
Trus...",2.56B
ABSI,Absci,Biotechnology,625.92M
ABST,Absolute Software,Software-Application,384.52M
